date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:33	124310/124310	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223049f0ef7943d10905f081bec31c847d%22	https://www.ise.io/assets/img/start-images/Straightforward-assessments.svg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/Straightforward-assessments.svg	(from https://www.ise.io/start/)
12:57:33	32913/32913	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fa05ddb0391c9a4ad5af0e920e0b1571%22	https://www.ise.io/assets/img/start-images/Case%20Study.svg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/Case%20Study.svg	(from https://www.ise.io/start/)
12:57:34	27461/27461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c3bd8cdb8b6895d1f8932f724775aeff%22	https://www.ise.io/assets/img/start-images/Better-risk-identification.svg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/Better-risk-identification.svg	(from https://www.ise.io/start/)
12:57:34	103525/103525	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211ff4fbb7057e56ee37ef6a0c76c7ae4%22	https://www.ise.io/assets/img/start-images/Faster-remediation-flow.svg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/Faster-remediation-flow.svg	(from https://www.ise.io/start/)
12:57:34	44922/44922	---MCZ	200	added ('OK')	text/html	etag:W/%22f6996ed5cbab909aca8686c78b0c77f9%22	https://www.ise.io/start/success-story/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/start/success-story/index.html	(from https://www.ise.io/start/)
12:57:34	55780/55780	---M--	200	added ('OK')	image/png	etag:%226740af4aae7fa7ed95b3d1a862723edf%22	https://www.ise.io/assets/img/start-images/media_entertainment.png	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/media_entertainment.png	(from https://www.ise.io/start/)
12:57:35	37371/37371	---MCZ	200	added ('OK')	text/html	etag:W/%227347e1f4854bf4c56f9e9dce0e262002%22	https://www.ise.io/start/media-entertainment/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/start/media-entertainment/index.html	(from https://www.ise.io/start/)
12:57:35	61219/61219	---M--	200	added ('OK')	image/png	etag:%22be606efff9546f4641969a002827ff0a%22	https://www.ise.io/assets/img/start-images/financial_services.png	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/financial_services.png	(from https://www.ise.io/start/)
12:57:35	43553/43553	---MCZ	200	added ('OK')	text/html	etag:W/%2253139c0f32a133bea556e509b999121c%22	https://www.ise.io/start/financial-services/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/start/financial-services/index.html	(from https://www.ise.io/start/)
12:57:35	38099/38099	---M--	200	added ('OK')	image/png	etag:%22b38be94640973da2afb3cfb19c808d55%22	https://www.ise.io/assets/img/start-images/consumer_electronics.png	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/consumer_electronics.png	(from https://www.ise.io/start/)
12:57:36	44302/44302	---MCZ	200	added ('OK')	text/html	etag:W/%22cef2162475817aae23cf2a6fd01d1c58%22	https://www.ise.io/start/consumer-electronics/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/start/consumer-electronics/index.html	(from https://www.ise.io/start/)
12:57:36	32206/32206	---M--	200	added ('OK')	image/png	etag:%22d8d396a1f492b21cbdcffa202ced6f01%22	https://www.ise.io/assets/img/start-images/insurance.png	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/start-images/insurance.png	(from https://www.ise.io/start/)
12:57:37	43421/43421	---MCZ	200	added ('OK')	text/html	etag:W/%224353280e17704fa854e3934cc8acd51b%22	https://www.ise.io/start/insurance/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/start/insurance/index.html	(from https://www.ise.io/start/)
12:57:37	141706/141706	---M--	200	added ('OK')	image/jpeg	etag:%2271f9f9eb1c8c93e132c1b29fd31d1abe%22	https://www.ise.io/assets/img/photos/photo-16.jpg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/photos/photo-16.jpg	(from https://www.ise.io/careers/openings/)
12:57:37	59207/59207	---M--	200	added ('OK')	image/jpeg	etag:%22afacaefdf9b63cd84214390aab45d192%22	https://www.ise.io/assets/img/photos/photo-17.jpg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/photos/photo-17.jpg	(from https://www.ise.io/careers/openings/)
12:57:38	89797/89797	---M--	200	added ('OK')	image/jpeg	etag:%22c1f7ea060017e10b2dfa39e2043afa4a%22	https://www.ise.io/assets/img/photos/photo-18.jpg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/photos/photo-18.jpg	(from https://www.ise.io/careers/openings/)
12:57:38	83164/83164	---M--	200	added ('OK')	image/jpeg	etag:%224d30253010b23b7b4f1b125853c3da76%22	https://www.ise.io/assets/img/photos/photo-19.jpg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/photos/photo-19.jpg	(from https://www.ise.io/careers/openings/)
12:57:39	68429/68429	---M--	200	added ('OK')	image/jpeg	etag:%22220137d9f528c2fad56dded6546eeaa2%22	https://www.ise.io/assets/img/photos/photo-20.jpg	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/photos/photo-20.jpg	(from https://www.ise.io/careers/openings/)
